transaction_id,address_id,matched_address,confidence,match_type,reason
none-549-metropolitan-avenue-unit-a-williamsburg-ny-11211,,,0.0,unmatched,api returned but no match
none-76-richardson-street-unit-7-williamsburg-ny-11211,,,0.0,unmatched,api returned but no match
none-conselyea-street-unit-2-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-139-skillman-avenue-unit-9ab-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-bushwick-avenue-unit-5b-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-108-division-avenue-unit-12a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-256-withers-street-unit-6fam-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-179-jackson-street-unit-5-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-manhattan-avenue-unit-2-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-hope-street-unit-pha-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-15-roebling-street-unit-4a-brooklyn-ny-11211,C855DDA89534AD0119BE0FA9DD14362A915B31706919F19E106396706084D6B29137AC90AFEC401B88F5F3E2EB6DD7A4,15 ROEBLING ST APT 4A,1.0,api,api match
none-237-withers-street-none-brooklyn-ny-11211,9E84B9023AE12779041CFE98B073B4C1CC756E925349652DAA0079A0262FAF3DF19DEC284CE541AE22BA7B3BA27805B4,237 WITHERS ST,83.33,fuzzy,fuzzy match
none-100-maspeth-avenue-unit-2j-brooklyn-ny-11211,2E62242E8DAF3FD78D3C865B095E867E1BDEB5C3AB09626F26D0AAACAAB392A467638FE0385D68D7A6621ADE4CEF7EBC,100 MASPETH AVE APT 2J,1.0,api,api match
none-432-grand-street-unit-201-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-50-bayard-street-unit-2g-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-224-north-6th-street-unit-2r-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-305-union-avenue-unit-4d-5d-brooklyn-ny-11211,A2F0B04E81C461A973DD7E83164BF1C7A97AA3BD295BD17657C96F790A867FA9E8DC0DD92E65EE7E798CE0CDE022AE8B,305 UNION AVE APT 4D,1.0,api,api match
none-305-union-avenue-unit-5c-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-179-jackson-street-unit-5a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-284-manhattan-avenue-none-brooklyn-ny-11211,4BD66ACD68AE627E88A552A2E6E53F0526E5A487D8B539889294E55B479D19079FFBAB45B15B3C3933FE98D7FEFB4009,284 MANHATTAN AVE,89.66,fuzzy,fuzzy match
none-50-bayard-street-unit-3j-brooklyn-ny-11211,54092009705B9E1FB022E50A0125AD0D8A56E73E58FF8243FDA611D68A57206B2E03075934144A74AAC4BB0A940C6096,50 BAYARD ST APT 3J,1.0,api,api match
none-229-withers-street-unit-3b-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-bayard-street-unit-2g-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-roebling-street-unit-4b-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-201-north-11th-street-unit-ph-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-devoe-street-unit-na-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-north-6th-street-unit-1-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-jackson-street-unit-1b-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-74-jackson-street-unit-5-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-union-avenue-unit-4d-5d-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-170-south-4th-street-none-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-south-4th-street-unit-4a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
